htid,access,rights,ht_bib_key,description,source,source_bib_num,oclc_num,isbn,issn,lccn,title,imprint,rights_reason_code,rights_timestamp,us_gov_doc_flag,rights_date_used,pub_place,lang,bib_fmt,collection_code,content_provider_code,responsible_entity_code,digitization_agent_code,access_profile_code,author,norm_title,norm_author
mdp.39015025189880,allow,pd,002784830,,MIU,990027848300106381,1965805,,,,Alice's adventures in Wonderland / by Lewis Carroll [psued.].,"H.M. Caldwell co., [18-?]",bib,2012-11-08 04:30:10,0,1890,nyu,eng,BK,MIU,umich,umich,google,google,"Carroll, Lewis, 1832-1898.",alice s adventures in wonderland,carroll lewis
uva.x004152854,allow,pd,009787447,,UVA,u222457,6958548,,,,Alice's adventures in Wonderland / by Lewis Carroll ; with forty-two illustrations [by John Tenniel],"H. Altemus, c1896.",bib,2011-05-15 20:32:16,0,1896,pau,eng,BK,UVA,virginia,virginia,google,google,"Carroll, Lewis, 1832-1898.",alice s adventures in wonderland,carroll lewis
hvd.hwhs7b,allow,pd,011567210,,HVD,990051742980203941,4362273,,,,Alice's adventures in Wonderland / by Lewis Carroll [i.e. C. L. Dodgson] ; with forty-two illustrations by John Tenniel.,"Lee and Shepard, 1869.",bib,2026-06-03 12:17:28,0,1869,mau,eng,BK,HVD,harvard,harvard,google,open,"Carroll, Lewis, 1832-1898",alice s adventures in wonderland,carroll lewis
nc01.ark:/13960/t1zc8zk18,allow,pd,012192106,,UNC,b2315565,20300146,,,,Alice's adventures in wonderland / by Lewis Carroll ; with forty-two illustrations by John Tenniel.,"Worthington, 1890.",bib,2013-01-31 19:48:10,0,1890,nyu,eng,BK,IUNC,unc,unc,ia,open,"Carroll, Lewis, 1832-1898.",alice s adventures in wonderland,carroll lewis
mdp.39015093681503,allow,pd,100174586,,MIU,990125147630106381,13145691,,,,Alice's adventures in Wonderland / Lewis Carroll ; edited by Clifton Johnson ; illustrations by John Tenniel.,"American Book Company, c1918.",bib,2014-11-14 04:25:14,0,1918,nyu,eng,BK,MIU,umich,umich,google,google,"Carroll, Lewis, 1832-1898.",alice s adventures in wonderland,carroll lewis
hvd.hn3evc,allow,pd,100486249,,HVD,990046590580203941,6494543,,,11006958,Alice's adventures in Wonderland / by Lewis Carroll [pseud.],Charles E. Merrill company [1911],bib,2026-06-03 11:49:30,0,1911,nyu,eng,BK,HVD,harvard,harvard,google,open,"Carroll, Lewis, 1832-1898",alice s adventures in wonderland,carroll lewis
hvd.hwqvu7,allow,pdus,100543748,,HVD,990029225970203941,21403980,,,,Alice's adventures in Wonderland / by Lewis Carroll [pseud.] Edited by Florence Milner.,"Rand, McNally & company, [c1902]",bib,2026-06-03 12:22:19,0,1902,ilu,eng,BK,HVD,harvard,harvard,google,open,"Carroll, Lewis, 1832-1898",alice s adventures in wonderland,carroll lewis
uva.x000194345,allow,pd,101867328,,UVA,u1103830,703527629,,,34022762,"Alice's adventures in Wonderland,","Boni & Liveright, 1924",bib,2025-01-01 00:07:46,0,1929,nyu,eng,BK,UVA,virginia,virginia,google,google,"Carroll, Lewis, 1832-1898.",alice s adventures in wonderland,carroll lewis
uva.x000418975,allow,pd,102092680,,UVA,u767458,12604474,,,28026941,Alice's adventures in Wonderland / by Lewis Carroll ; original Tenniel illustrations.,"Albert Whitman & Co., c1928.",bib,2024-01-01 05:24:29,0,1928,ilu,eng,BK,UVA,virginia,virginia,google,google,"Carroll, Lewis, 1832-1898.",alice s adventures in wonderland,carroll lewis
uva.x000877405,allow,pd,102092692,,UVA,u767600,12593571,,,27012104,Alice's adventures in Wonderland / by Lewis Carroll ; with forty-two illustrations by John Tenniel.,"D. Appleton, 1866 [c1927]",bib,2022-12-31 19:07:31,0,1927,nyu,eng,BK,UVA,virginia,virginia,google,google,"Carroll, Lewis, 1832-1898.",alice s adventures in wonderland,carroll lewis
uc2.ark:/13960/t09w0g194,allow,pd,102287599,v.1-2,UC,b104889494,16407764,,,,Alice's adventures in Wonderland / by Lewis Carroll [i.e. Charles Lutwidge Dodgson] ; with forty-two illustrations by John Tenniel.,"Lovell, Coryell & Co., [ca. 1894]",bib,2018-03-03 03:25:55,0,1894,nyu,eng,BK,INRLF,universityofcalifornia,universityofcalifornia,ia,open,"Carroll, Lewis, 1832-1898.",alice s adventures in wonderland,carroll lewis
uc2.ark:/13960/t9t151b58,allow,pd,102287617,,UC,b104896164,3902231,,,,Alice's adventures in Wonderland / by Lewis Carroll [pseud.] ; with the original illustrations by John Tenniel.,"Philip Lee Warner, Publicher to The Medici Society, 1914.",add,2025-11-08 05:25:03,0,1914,enk,eng,BK,INRLF,universityofcalifornia,universityofcalifornia,ia,open,"Carroll, Lewis, 1832-1898.",alice s adventures in wonderland,carroll lewis
uc2.ark:/13960/t22b92807,allow,pdus,102288263,,UC,b105997717,14345049,,,,Alice's adventures in Wonderland / by Lewis Carrol [i.e. Charles Lutwidge Dodgson] ; with forty-two illustrations by John Tenniel.,"Macmillan, 1905.",bib,2018-03-03 03:25:59,0,1905,enk,eng,BK,INRLF,universityofcalifornia,universityofcalifornia,ia,open,"Carroll, Lewis, 1832-1898.",alice s adventures in wonderland,carroll lewis
