title,author,year,lang,rights,fmt,publisher,oclc,htid,url,n_copies
Alice's adventures in Wonderland / by Lewis Carroll [psued.].,"Carroll, Lewis, 1832-1898.",1869.0,eng,pd,BK,"H.M. Caldwell co., [18-?]",1965805,mdp.39015025189880,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025189880,17
"Through the looking-glass and what Alice found there / by Lewis Carroll; illustrated by Gertrude A. Kay, and with the 50 original drawings by Sir John Tenniel.","Carroll, Lewis, 1832-1898.",1872.0,eng,pdus,BK,"J.B. Lippincott Company, [1929]",7587911,mdp.39015040114061,https://babel.hathitrust.org/cgi/pt?id=mdp.39015040114061,12
Rhyme? and reason? By Louis Carroll [pseud.] With sixty-five illustrations by Arthur B. Frost and nine by Henry Holiday...,"Carroll, Lewis, 1832-1898.",1884.0,eng,pd,BK,"Macmillan and Co., 1884.","1162213,216602280",loc.ark:/13960/t82j70c16,https://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t82j70c16,6
"The brief, with selections for briefing, by Carroll Lewis Maxcy.","Maxcy, Carroll Lewis, 1865-1936",1916.0,eng,pd,BK,Houghton Mifflin company [c1916],2976604,uc2.ark:/13960/t7dr2vm06,https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7dr2vm06,6
"Three sunsets and other poems, by Lewis Carroll [pseud.] with twelve fairy-fancies by E. Gertrude Thomson.","Carroll, Lewis, 1832-1898.",1898.0,eng,pd,BK,"Macmillan and co., limited; 1898.",1966384,uc2.ark:/13960/t05x2fm6r,https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t05x2fm6r,5
"The rhetorical principles of narration, by Carroll Lewis Maxcy.","Maxcy, Carroll Lewis, 1865-1936",1911.0,eng,pd,BK,Houghton Mifflin company [c1911],1918070,uc2.ark:/13960/t6736q36v,https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t6736q36v,5
Alice's adventures in wonderland and Through the looking-glass / by Lewis Carroll ; with illustrations by Milo Winter.,"Carroll, Lewis, 1832-1898.",1894.0,eng,pd,BK,"Rand, McNally, [c1916]",544672,mdp.39015085433129,https://babel.hathitrust.org/cgi/pt?id=mdp.39015085433129,5
An elementary treatise on determinants : with their application to simultaneous linear equations and algebraical geometry / By Charles L. Dodgson ...,"Carroll, Lewis, 1832-1898.",1867.0,eng,pd,BK,"Macmillan and Co., 1867.",1026954,miun.abv1991.0001.001,https://babel.hathitrust.org/cgi/pt?id=miun.abv1991.0001.001,5
"Curiosa mathematica, by Charles L. Dodgson.","Carroll, Lewis, 1832-1898.",1895.0,eng,pd,BK,"Macmillan and Co., 1895.",4748166,umn.319510004968598,https://babel.hathitrust.org/cgi/pt?id=umn.319510004968598,4
"The hunting of the snark, and other poems and verses by Lewis Carroll [pseud.] illustrated by Peter Newell.","Carroll, Lewis, 1832-1898.",1903.0,eng,pd,BK,"Harper & brothers, 1903.",456437,coo1.ark:/13960/t2b85tk33,https://babel.hathitrust.org/cgi/pt?id=coo1.ark:/13960/t2b85tk33,4
