htid,access,rights,ht_bib_key,description,source,source_bib_num,oclc_num,isbn,issn,lccn,title,imprint,rights_reason_code,rights_timestamp,us_gov_doc_flag,rights_date_used,pub_place,lang,bib_fmt,collection_code,content_provider_code,responsible_entity_code,digitization_agent_code,access_profile_code,author,n_copies
uc1.$b628606,allow,pdus,009990861,NO. 6495,UC,b170331246,,,,,United States Congressional serial set.,,cdpp,2024-08-03 05:25:12,0,9999,xx ,und,BK,NRLF,universityofcalifornia,universityofcalifornia,google,google,,12420
uc1.b3074068,allow,pdus,007840190,v.757,UC,b136962634,83060784,,,,Pamphlets on Biology : Kofoid collection.,,gfv,2026-01-28 20:03:39,0,9999,xx ,und,BK,NRLF,universityofcalifornia,universityofcalifornia,google,google,,2992
uc1.l0084919927,deny,ic,002249047,v.676 no.5,UC,4557814,84145843,,,,"Zhongguo fang zhi cong shu. Hua zhong di fang.,中國方志叢書. 華中地方.","Cheng wen chu ban she, Minguo 59 [1970]-, 成文出版社, 民國59 [1970]-",bib,2020-07-30 03:25:56,0,1970,ch ,chi,BK,UCLA,universityofcalifornia,universityofcalifornia,google,google,,2419
wu.89085086502,allow,pdus,005763051,"Angrick, R. 1930",WU,5361416,,,,,[Bachelor's theses],[1895-1962],gfv,2026-01-28 20:03:42,0,1962,wiu,eng,BK,WU,wisc,wisc,google,google,,2041
uc1.l0084724582,deny,ic,007255338,v.0388,UC,4507160,37944349,,,,"Xu xiu Si ku quan shu / ""Xu xiu Si ku quan shu"" bian zuan wei yuan hui bian ; [zhu bian Gu Tinglong].,續修四庫全書 / 《續修四庫全書》編纂委員會編 ; [主编顧廷龍].","Shanghai gu ji chu ban she, [1995-, 上海古籍出版社, [1995-",bib,2018-08-31 03:25:35,0,9999,cc ,chi,BK,UCLA,universityofcalifornia,universityofcalifornia,google,google,,1966
rul.39030000258428,deny,ic,000185097,ABT. 1 BD. 2,NJR,991013341789704646,761689,"3487072866 (Abt. 2, Bd. 2),3487073919 (Abt. 1, Bd. 1)",,66046887//r81,Gesammelte Werke / herausgegeben und bearbeitet von J. École ... [et al.].,"Olms, [1962]-[2010]",bib,2026-08-01 05:17:25,0,9999,gw ,ger,BK,NJR,rutgers,rutgers,google,google,"Wolff, Christian, Freiherr von, 1679-1754.",1842
uc1.$b219547,deny,und,009979671,JUNE 22A 1977,UC,"b170708998,-ucsf.b170708998",,,,,"Sotheby, Firm, Auctioneers, London. [Catalogues of sales].",,bib,2018-08-25 03:27:28,0,9999,xx ,und,BK,NRLF,universityofcalifornia,universityofcalifornia,google,google,,1829
mdp.39015052907865,deny,ic,003838866,v.21 pt.2:7,MIU,990038388660106381,35724889,,,,"Zhong gong zhong yao li shi wen xian zi liao hui bian / Zhong wen chu ban wu fu wu zhong xin bian.,中共重要历史文献资料汇编 / 中文出版物服务中心编.","Zhong wen chu ban wu fu wu zhong xin, 1995-, 中文出版物服务中心, 1995-",bib,2021-01-07 03:25:05,0,9999,cau,chi,BK,MIU,umich,umich,google,google,,1798
chi.44033403,deny,ic,000680586,c.4 v.102 1995 pp.623-1466,CHI,2386208,1782311,,0021-9606,35014250,The Journal of chemical physics.,American Institute of Physics.,bib,2025-12-27 03:53:53,0,9999,nyu,eng,BK,CHI,uchicago,uchicago,google,google,,1736
mdp.39015062400596,deny,ic,007815072,no.410,MIU,990022608300106381,17081623,,,82214566,"Cong shu ji cheng chu bian / zhu bian zhe Wang Yunwu.,叢書集成初編 / 主編者王雲五.","Shang wu yin shu guan, Minguo 24-29 [1935-1940], 商務印書館, 民國24-29 [1935-1940]",bib,2022-11-22 02:25:10,0,1940,cc ,chi,BK,MIU,umich,umich,google,google,,1666
