htid,access,rights,ht_bib_key,description,source,source_bib_num,oclc_num,isbn,issn,lccn,title,imprint,rights_reason_code,rights_timestamp,us_gov_doc_flag,rights_date_used,pub_place,lang,bib_fmt,collection_code,content_provider_code,responsible_entity_code,digitization_agent_code,access_profile_code,author,n_copies
coo.31924085249609,deny,ic,103556453,no.46 1999:May,COO,2445738,32039401,,,,Bulletin / Bentley Historical Library.,"Bentley Historical Library, University of     Michigan, c1994-",bib,2026-08-01 05:18:37,0,1999,miu,eng,SE,COO,cornell,cornell,google,google,,16383
hvd.hx5vcz,allow,pd,003051567,348 (1838/39)   maps,HVD,"008274298,990082742980203941",3888071,,1931-2822,92643101,United States congressional serial set.,"U.S. G.P.O.,",bib,2026-06-03 12:29:13,1,1839,dcu,eng,SE,HVD,harvard,harvard,google,open,,16383
ucbk.ark:/28722/h2rx93z8b,deny,ic,102871661,"1946-11-22 Fri Nov. 22, 1946",UC,991045148619706532,175049634,,1050-2300,sn 90002088,The Daily Californian.,"Independent Berkeley Student Publishing, Inc.",bib,2023-09-19 03:25:31,0,1946,cau,eng,SE,UCBK,universityofcalifornia,universityofcalifornia,berkeley,open,,16383
hvd.32044135512424,allow,pd,003911273,1951:title 32A,HVD,990001412620203941,"171550286,213945561,2786662,3525698",,1946-4975,2008251146,The Code of Federal regulations of the United States of America.,"U.S. G.P.O., 1939-",bib,2026-06-03 11:30:27,1,1951,dcu,eng,SE,HVD,harvard,harvard,google,open,,9976
mcg.ark:/13960/t9n33dm68,allow,pdus,102844099,v.20:no.20(1930:Oct.23),QMM,428089611,428089611,,1192-4608,,The McGill daily.,"McGill University, Daily Publications Society, 1911-",bib,2026-01-01 05:20:40,0,1930,quc,eng,SE,QMM,mcgill,mcgill,mcgill,open,,8824
uc1.c2884136,deny,und,103552223,no.293,UC,991060612839706532,14397478,,,92642612,Report / Texas Water Development Board.,The Board,bib,2026-08-01 05:18:31,0,9999,txu,eng,SE,NRLF,universityofcalifornia,universityofcalifornia,google,google,,7258
uc1.c2890486,deny,ic,103552183,no.1-12 (1931-37),UC,991019088369706532,213806972,,,,Circular / Lund Observatory.,"Lunds universitet. Observatoriet, 1931-1948.",bib,2026-08-01 05:18:31,0,1937,sw ,eng,SE,NRLF,universityofcalifornia,universityofcalifornia,google,google,,7024
coo.31924087693861,allow,pdus,000519079,1913:Mar.-Apr.,COO,328636,64238093,,0035-1962,11166625 //r48,Revue des deux mondes.,Au bureau de la Revue des deux mondes.,bib,2026-06-22 05:39:12,0,1913,fr ,fre,SE,COO,cornell,cornell,google,google,,6876
hvd.32044136890118,allow,pd,100422387,"v.161, no. 184 (2015:Dec.17)",HVD,990001806460203941,2437919,,0363-7239,80646573,Congressional record : proceedings and debates of the ... Congress.,"[Supt. of Docs., U.S. G.P.O., distributor,",bib,2026-06-03 11:30:27,1,2015,dcu,eng,SE,HVD,harvard,harvard,google,open,United States. Congress.,6864
nyp.33433008879383,allow,pd,003910103,v. 20-29 Ser. 1923,NYP,b152766868,1585684,,0083-3312,agr28001721,Soil survey.,"U.S. Dept. of Agriculture, 1928-",bib,2026-05-12 05:39:58,1,1923,dcu,eng,SE,NYP,nypl,nypl,google,google,,6460
