htid,access,rights,ht_bib_key,description,source,source_bib_num,oclc_num,isbn,issn,lccn,title,imprint,rights_reason_code,rights_timestamp,us_gov_doc_flag,rights_date_used,pub_place,lang,bib_fmt,collection_code,content_provider_code,responsible_entity_code,digitization_agent_code,access_profile_code,author
coo.31924011864216,allow,pdus,000908205,v.2,COO,1164999,"1957721,3278497",,,39001950//r863,"The Tebtunis papyri, edited by Bernard P. Grenfell, Arthur S. Hunt and J. Gilbart Smyly.","H. Frowde, Oxford University Press [etc.] 1902-",gfv,2014-10-29 09:48:27,0,9999,enk,eng,BK,COO,cornell,cornell,google,google,"Grenfell, Bernard P. 1869-1926."
iau.31858002243172,allow,pd,000908205,v.4,IAU,000635791,"1957721,3278497",,,39001950//r863,"The Tebtunis papyri, edited by Bernard P. Grenfell, Arthur S. Hunt and J. Gilbart Smyly.","H. Frowde, Oxford University Press [etc.] 1902-",add,2024-05-17 05:25:03,0,9999,enk,eng,BK,IAU,uiowa,uiowa,google,google,"Grenfell, Bernard P. 1869-1926."
uc1.31970016638451,allow,pdus,000908205,v.1 pt.1,UC,b16179237,"1957721,3278497",,,39001950//r863,"The Tebtunis papyri, edited by Bernard P. Grenfell, Arthur S. Hunt and J. Gilbart Smyly.","H. Frowde, Oxford University Press [etc.] 1902-",gfv,2017-05-29 01:02:51,0,9999,enk,eng,BK,UCI,universityofcalifornia,universityofcalifornia,google,google,"Grenfell, Bernard P. 1869-1926."
uc1.31970016638469,allow,pdus,000908205,v.2 pt.2,UC,b16179237,"1957721,3278497",,,39001950//r863,"The Tebtunis papyri, edited by Bernard P. Grenfell, Arthur S. Hunt and J. Gilbart Smyly.","H. Frowde, Oxford University Press [etc.] 1902-",gfv,2017-05-29 01:02:51,0,9999,enk,eng,BK,UCI,universityofcalifornia,universityofcalifornia,google,google,"Grenfell, Bernard P. 1869-1926."
uva.x000207713,deny,icus,000908205,V.3 PT.2,UVA,u999038,"1957721,3278497",,,39001950//r863,"The Tebtunis papyri, edited by Bernard P. Grenfell, Arthur S. Hunt and J. Gilbart Smyly.","H. Frowde, Oxford University Press [etc.] 1902-",gatt,2024-05-15 05:25:16,0,9999,enk,eng,BK,UVA,virginia,virginia,google,google,"Grenfell, Bernard P. 1869-1926."
uva.x000207714,deny,ic,000908205,V.3 PT.1,UVA,u999038,"1957721,3278497",,,39001950//r863,"The Tebtunis papyri, edited by Bernard P. Grenfell, Arthur S. Hunt and J. Gilbart Smyly.","H. Frowde, Oxford University Press [etc.] 1902-",add,2024-05-28 05:25:03,0,9999,enk,eng,BK,UVA,virginia,virginia,google,google,"Grenfell, Bernard P. 1869-1926."
umn.31951001193943b,allow,pdus,000908205,pt.2,UMN,"9959217110001701,002035350","1957721,3278497",,,39001950//r863,"The Tebtunis papyri, edited by Bernard P. Grenfell, Arthur S. Hunt and J. Gilbart Smyly.","H. Frowde, Oxford University Press [etc.] 1902-",gfv,2018-05-29 01:03:59,0,9999,enk,eng,BK,UMN,umn,umn,google,google,"Grenfell, Bernard P. 1869-1926."
uc1.31822028307320,allow,pdus,000908205,v.2,UC,b4174522x,"1957721,3278497",,,39001950//r863,"The Tebtunis papyri, edited by Bernard P. Grenfell, Arthur S. Hunt and J. Gilbart Smyly.","H. Frowde, Oxford University Press [etc.] 1902-",gfv,2018-05-29 01:04:00,0,9999,enk,eng,BK,UCSD,universityofcalifornia,universityofcalifornia,google,google,"Grenfell, Bernard P. 1869-1926."
uc1.31822028307387,allow,pd,000908205,v.4,UC,b4174522x,"1957721,3278497",,,39001950//r863,"The Tebtunis papyri, edited by Bernard P. Grenfell, Arthur S. Hunt and J. Gilbart Smyly.","H. Frowde, Oxford University Press [etc.] 1902-",add,2024-05-17 05:25:03,0,9999,enk,eng,BK,UCSD,universityofcalifornia,universityofcalifornia,google,google,"Grenfell, Bernard P. 1869-1926."
uiuo.ark:/13960/t5z67wx2d,allow,pd,000908205,v.4,UIU,7230073,"1957721,3278497",,,39001950//r863,"The Tebtunis papyri, edited by Bernard P. Grenfell, Arthur S. Hunt and J. Gilbart Smyly.","H. Frowde, Oxford University Press [etc.] 1902-",add,2024-05-16 05:25:07,0,9999,enk,eng,BK,IUIUC,illinois,illinois,ia,open,"Grenfell, Bernard P. 1869-1926."
wu.89049758634,allow,pd,000908205,4:2,WU,288715,"1957721,3278497",,,39001950//r863,"The Tebtunis papyri, edited by Bernard P. Grenfell, Arthur S. Hunt and J. Gilbart Smyly.","H. Frowde, Oxford University Press [etc.] 1902-",add,2015-12-14 12:25:14,0,9999,enk,eng,BK,WU,wisc,wisc,google,google,"Grenfell, Bernard P. 1869-1926."
dul1.ark:/13960/s2fdv1qdf26,deny,icus,000908205,III:pt.2,DUL,001249197,"1957721,3278497",,,39001950//r863,"The Tebtunis papyri, edited by Bernard P. Grenfell, Arthur S. Hunt and J. Gilbart Smyly.","H. Frowde, Oxford University Press [etc.] 1902-",gatt,2024-05-15 05:25:12,0,9999,enk,eng,BK,IDUKE,duke,duke,ia,open,"Grenfell, Bernard P. 1869-1926."
