id,title,authors,subjects,bookshelves,summary,download_count,reading_ease_score,issued,cover_image,text_url,source_url,removed_from_catalog
1,The Declaration of Independence of the United States of America,"Jefferson, Thomas","United States. Declaration of Independence; United States -- History -- Revolution, 1775-1783 -- Sources","American Revolutionary War; Category: Essays, Letters & Speeches; Category: History - American; Category: History - Modern (1750+); Category: Philosophy & Ethics; Category: Politics; Politics; United States Law","""The Declaration of Independence of the United States of America"" by Thomas Jefferson is a founding document adopted in 1776. Written primarily by Jefferson between June 11 and June 28, it formally explains why the Thirteen Colonies declared independence from British rule. The document lists 27 grievances against King George III and asserts natural rights including life, liberty, and the pursuit of happiness. Its ratification on July 4, 1776, marked an act of treason against the Crown, transforming colonial delegates into America's Founding Fathers. (This is an automatically generated summary.)",3854,52.10,1971-12-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/1/pg1.cover.medium.jpg,https://www.gutenberg.org/files/1/1.txt,https://www.gutenberg.org/ebooks/1,
2,The United States Bill of Rights: The Ten Original Amendments to the Constitution of the United States,United States,Civil rights -- United States -- Sources; United States. Constitution. 1st-10th Amendments,American Revolutionary War; Category: History - American; Category: Law & Criminology; Politics; United States Law,"""The United States Bill of Rights"" by United States comprises the first ten amendments to the Constitution, proposed in 1789 and ratified in 1791. Born from fierce debate over constitutional ratification, these amendments address Anti-Federalist objections by guaranteeing personal freedoms including speech, religion, and assembly. Championed by James Madison, who initially opposed such enumeration, the Bill of Rights explicitly limits federal power while reserving unenumerated rights to states and citizens—establishing foundational protections that would later extend beyond federal governance. (This is an automatically generated summary.)",1906,39.80,1972-12-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/2/pg2.cover.medium.jpg,https://www.gutenberg.org/files/2/2.txt,https://www.gutenberg.org/ebooks/2,
3,John F. Kennedy's Inaugural Address,"Kennedy, John F. (John Fitzgerald)",Presidents -- United States -- Inaugural addresses; United States -- Foreign relations -- 1961-1963,"Category: Essays, Letters & Speeches; Category: History - American; Category: Politics","""John F. Kennedy's Inaugural Address"" by John F. Kennedy is a historical speech that was delivered during the early 1960s, a significant time during the Cold War. This address marks the transition of power within the U.S. government and encapsulates themes of freedom, responsibility, and unity in the face of global challenges. The likely topic of the book revolves around the ideals of democracy and international cooperation, as well as a call to action for both citizens and nations.  In this powerful address, Kennedy emphasizes the importance of freedom, urging citizens to recognize their role in fostering and protecting liberty. He speaks to the challenges faced by humanity—tyranny, poverty, disease, and war—and calls for a collaborative effort among nations towards a better future. He offers a solemn pledge of support to allies and a commitment to assist oppressed peoples, emphasizing that true progress can be achieved through mutual cooperation and sacrifice. The address culminates in the famous call to action, asking individuals not what their country can do for them, but what they can do for their country, creating a shared sense of purpose among all citizens of the world. (This is an automatically generated summary.)",1523,74.40,1973-11-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/3/pg3.cover.medium.jpg,https://www.gutenberg.org/files/3/3.txt,https://www.gutenberg.org/ebooks/3,
4,"Lincoln's Gettysburg Address: Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA","Lincoln, Abraham","Consecration of cemeteries -- Pennsylvania -- Gettysburg; Lincoln, Abraham, 1809-1865. Gettysburg address; Soldiers' National Cemetery (Gettysburg, Pa.)","Category: Essays, Letters & Speeches; Category: History - American; Category: History - Modern (1750+); US Civil War","""Lincoln's Gettysburg Address"" by Abraham Lincoln is a speech delivered on November 19, 1863, at the dedication of Soldiers' National Cemetery in Gettysburg, Pennsylvania. Following the Civil War's deadliest battle, Lincoln spoke for less than two minutes before 15,000 people, delivering only 271 words. He invoked the Declaration of Independence and honored those who died defending the nation's founding principles, closing with his famous vision of ""government of the people, by the people, for the people."" (This is an automatically generated summary.)",1331,73.60,1973-11-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/4/pg4.cover.medium.jpg,https://www.gutenberg.org/files/4/4.txt,https://www.gutenberg.org/ebooks/4,
5,The United States Constitution,United States,United States. Constitution; United States -- Politics and government -- 1783-1789 -- Sources,American Revolutionary War; Category: History - American; Category: Law & Criminology; Category: Politics; Politics; United States; United States Law,"""The United States Constitution"" by United States is a foundational document drafted in 1787 and operational since 1789. Born from the failures of the Articles of Confederation, it establishes the supreme law of America through seven original articles defining federal government structure. Influenced by Enlightenment philosophy and English common law, it separates power among legislative, executive, and judicial branches. Twenty-seven amendments have since expanded individual rights and modified governmental processes, making it the world's oldest written national constitution still in force. (This is an automatically generated summary.)",2590,35.00,1975-12-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/5/pg5.cover.medium.jpg,https://www.gutenberg.org/files/5/5.txt,https://www.gutenberg.org/ebooks/5,
6,Give Me Liberty or Give Me Death,"Henry, Patrick","Speeches, addresses, etc., American; United States -- Politics and government -- 1775-1783 -- Sources; Virginia -- Politics and government -- 1775-1783 -- Sources","American Revolutionary War; Category: Essays, Letters & Speeches; Category: History - American","""Give Me Liberty or Give Me Death"" by Patrick Henry is a historic speech delivered in 1775, which serves as an impassioned call to arms during the American Revolution. The text falls within the genre of oratory, representing the fervent political discourse of the time. This pivotal moment reflects the prelude to conflict between the American colonies and British rule, highlighting the serious issues surrounding freedom and tyranny.  In his speech, Henry passionately argues for the necessity of fighting against British oppression, cautioning his fellow countrymen against the false hope of reconciliation. He emphasizes the futility of peaceful negotiations and presents the situation as a stark choice between liberty and slavery. By invoking powerful imagery and appeals to human experience, he urges his audience to recognize the immediacy of the threat and the need for an armed response. The concluding declaration—""Give me liberty or give me death!""—serves as a rallying cry for those seeking independence, encapsulating the determination and urgency of the revolutionary spirit. (This is an automatically generated summary.)",1213,80.20,1976-12-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/6/pg6.cover.medium.jpg,https://www.gutenberg.org/files/6/6.txt,https://www.gutenberg.org/ebooks/6,
7,The Mayflower Compact,,"Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources; Mayflower Compact (1620); Pilgrims (New Plymouth Colony)",Category: History - American; Category: History - Early Modern (c. 1450-1750); Category: History - Religious,"""The Mayflower Compact"" is a governing document written in 1620 by men aboard the Mayflower. Forced off course to Cape Cod instead of Virginia, the passengers faced potential mutiny from those claiming freedom from agreed-upon authority. To maintain order, forty-one men signed this covenant, creating a civil government based on majority rule while pledging loyalty to the English Crown. It became Plymouth Colony's founding document and an early example of self-governance in America. (This is an automatically generated summary.)",1119,67.90,1977-12-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/7/pg7.cover.medium.jpg,https://www.gutenberg.org/files/7/7.txt,https://www.gutenberg.org/ebooks/7,
8,Abraham Lincoln's Second Inaugural Address,"Lincoln, Abraham",Presidents -- United States -- Inaugural addresses; United States -- Politics and government -- 1861-1865,"Category: Essays, Letters & Speeches; Category: History - American; Category: History - Modern (1750+); Category: Politics; US Civil War","""Abraham Lincoln's Second Inaugural Address"" by Abraham Lincoln is a speech delivered on March 4, 1865, as the Civil War neared its end. Rather than celebrating impending victory, Lincoln spoke with somber reflection on the war's meaning and divine purpose. He identified slavery as the war's cause and suggested the conflict might be God's punishment for the nation's sins. The address contemplates unknowable divine will and calls for reconciliation, urging Americans to ""bind up the nation's wounds"" without harsh treatment of the defeated South. (This is an automatically generated summary.)",1209,62.70,1978-12-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/8/pg8.cover.medium.jpg,https://www.gutenberg.org/files/8/8.txt,https://www.gutenberg.org/ebooks/8,
9,Abraham Lincoln's First Inaugural Address,"Lincoln, Abraham",Presidents -- United States -- Inaugural addresses; United States -- Politics and government -- 1861-1865,"Category: Essays, Letters & Speeches; Category: History - American; Category: Politics; US Civil War","""Abraham Lincoln's First Inaugural Address"" by Abraham Lincoln is a historical document delivered as a speech on March 4, 1861. This address takes place during a tumultuous period in American history, specifically the lead-up to the Civil War. In this speech, Lincoln aims to reassure a divided nation, emphasizing the importance of the Union and the continuity of the Constitution while addressing the contentious issues surrounding slavery.  In his address, Lincoln acknowledges the fears of Southern states regarding the protection of their rights and property, particularly concerning slavery. He firmly asserts that he has no intention to interfere with the institution of slavery where it already exists and advocates for the peaceful resolution of conflicts. Lincoln discusses the nature of the Union, arguing that it is perpetual and cannot be dissolved by individual states. By appealing to unity, he calls for patience and a commitment to dialogue while reminding listeners that civil war would only arise from aggression. The address ends on a hopeful note, urging Americans to recognize their shared bonds and to seek reconciliation rather than division, famously invoking ""the better angels of our nature."" (This is an automatically generated summary.)",1033,52.80,1979-12-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/9/pg9.cover.medium.jpg,https://www.gutenberg.org/files/9/9.txt,https://www.gutenberg.org/ebooks/9,
10,The King James Version of the Bible,,Bible,Banned Books List from the American Library Association; Category: Classics of Literature; Category: Religion/Spirituality,"""The King James Version of the Bible"" is an English translation of the Christian Bible commissioned in 1604 and published in 1611 under King James VI and I. This translation for the Church of England contains 80 books and was created to address controversies surrounding existing versions. Celebrated for its majestic style, it has profoundly shaped English literature, Christian thought, and everyday speech for over four centuries. The translation became the unchallenged standard in English Protestant churches and remains one of the most widely read versions today. (This is an automatically generated summary.)",16681,77.20,1989-08-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/10/pg10.cover.medium.jpg,https://www.gutenberg.org/files/10/10.txt,https://www.gutenberg.org/ebooks/10,
