source,id,title,authors,subjects,bookshelves,summary,download_count,reading_ease_score,issued,rights,is_public_domain,cover_image,text_url,source_url
gutenberg,1,The Declaration of Independence of the United States of America,"Jefferson, Thomas","United States. Declaration of Independence; United States -- History -- Revolution, 1775-1783 -- Sources","American Revolutionary War; Category: Essays, Letters & Speeches; Category: History - American; Category: History - Modern (1750+); Category: Philosophy & Ethics; Category: Politics; Politics; United States Law","""The Declaration of Independence of the United States of America"" by Thomas Jefferson is a founding document adopted in 1776. Written primarily by Jefferson between June 11 and June 28, it formally explains why the Thirteen Colonies declared independence from British rule. The document lists 27 grievances against King George III and asserts natural rights including life, liberty, and the pursuit of happiness. Its ratification on July 4, 1776, marked an act of treason against the Crown, transforming colonial delegates into America's Founding Fathers. (This is an automatically generated summary.)",3854,52.10,1971-12-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/1/pg1.cover.medium.jpg,https://www.gutenberg.org/files/1/1.txt,https://www.gutenberg.org/ebooks/1
gutenberg,2,The United States Bill of Rights: The Ten Original Amendments to the Constitution of the United States,United States,Civil rights -- United States -- Sources; United States. Constitution. 1st-10th Amendments,American Revolutionary War; Category: History - American; Category: Law & Criminology; Politics; United States Law,"""The United States Bill of Rights"" by United States comprises the first ten amendments to the Constitution, proposed in 1789 and ratified in 1791. Born from fierce debate over constitutional ratification, these amendments address Anti-Federalist objections by guaranteeing personal freedoms including speech, religion, and assembly. Championed by James Madison, who initially opposed such enumeration, the Bill of Rights explicitly limits federal power while reserving unenumerated rights to states and citizens—establishing foundational protections that would later extend beyond federal governance. (This is an automatically generated summary.)",1906,39.80,1972-12-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/2/pg2.cover.medium.jpg,https://www.gutenberg.org/files/2/2.txt,https://www.gutenberg.org/ebooks/2
gutenberg,3,John F. Kennedy's Inaugural Address,"Kennedy, John F. (John Fitzgerald)",Presidents -- United States -- Inaugural addresses; United States -- Foreign relations -- 1961-1963,"Category: Essays, Letters & Speeches; Category: History - American; Category: Politics","""John F. Kennedy's Inaugural Address"" by John F. Kennedy is a historical speech that was delivered during the early 1960s, a significant time during the Cold War. This address marks the transition of power within the U.S. government and encapsulates themes of freedom, responsibility, and unity in the face of global challenges. The likely topic of the book revolves around the ideals of democracy and international cooperation, as well as a call to action for both citizens and nations.  In this powerful address, Kennedy emphasizes the importance of freedom, urging citizens to recognize their role in fostering and protecting liberty. He speaks to the challenges faced by humanity—tyranny, poverty, disease, and war—and calls for a collaborative effort among nations towards a better future. He offers a solemn pledge of support to allies and a commitment to assist oppressed peoples, emphasizing that true progress can be achieved through mutual cooperation and sacrifice. The address culminates in the famous call to action, asking individuals not what their country can do for them, but what they can do for their country, creating a shared sense of purpose among all citizens of the world. (This is an automatically generated summary.)",1523,74.40,1973-11-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/3/pg3.cover.medium.jpg,https://www.gutenberg.org/files/3/3.txt,https://www.gutenberg.org/ebooks/3
gutenberg,4,"Lincoln's Gettysburg Address: Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA","Lincoln, Abraham","Consecration of cemeteries -- Pennsylvania -- Gettysburg; Lincoln, Abraham, 1809-1865. Gettysburg address; Soldiers' National Cemetery (Gettysburg, Pa.)","Category: Essays, Letters & Speeches; Category: History - American; Category: History - Modern (1750+); US Civil War","""Lincoln's Gettysburg Address"" by Abraham Lincoln is a speech delivered on November 19, 1863, at the dedication of Soldiers' National Cemetery in Gettysburg, Pennsylvania. Following the Civil War's deadliest battle, Lincoln spoke for less than two minutes before 15,000 people, delivering only 271 words. He invoked the Declaration of Independence and honored those who died defending the nation's founding principles, closing with his famous vision of ""government of the people, by the people, for the people."" (This is an automatically generated summary.)",1331,73.60,1973-11-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/4/pg4.cover.medium.jpg,https://www.gutenberg.org/files/4/4.txt,https://www.gutenberg.org/ebooks/4
gutenberg,5,The United States Constitution,United States,United States. Constitution; United States -- Politics and government -- 1783-1789 -- Sources,American Revolutionary War; Category: History - American; Category: Law & Criminology; Category: Politics; Politics; United States; United States Law,"""The United States Constitution"" by United States is a foundational document drafted in 1787 and operational since 1789. Born from the failures of the Articles of Confederation, it establishes the supreme law of America through seven original articles defining federal government structure. Influenced by Enlightenment philosophy and English common law, it separates power among legislative, executive, and judicial branches. Twenty-seven amendments have since expanded individual rights and modified governmental processes, making it the world's oldest written national constitution still in force. (This is an automatically generated summary.)",2590,35.00,1975-12-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/5/pg5.cover.medium.jpg,https://www.gutenberg.org/files/5/5.txt,https://www.gutenberg.org/ebooks/5
gutenberg,6,Give Me Liberty or Give Me Death,"Henry, Patrick","Speeches, addresses, etc., American; United States -- Politics and government -- 1775-1783 -- Sources; Virginia -- Politics and government -- 1775-1783 -- Sources","American Revolutionary War; Category: Essays, Letters & Speeches; Category: History - American","""Give Me Liberty or Give Me Death"" by Patrick Henry is a historic speech delivered in 1775, which serves as an impassioned call to arms during the American Revolution. The text falls within the genre of oratory, representing the fervent political discourse of the time. This pivotal moment reflects the prelude to conflict between the American colonies and British rule, highlighting the serious issues surrounding freedom and tyranny.  In his speech, Henry passionately argues for the necessity of fighting against British oppression, cautioning his fellow countrymen against the false hope of reconciliation. He emphasizes the futility of peaceful negotiations and presents the situation as a stark choice between liberty and slavery. By invoking powerful imagery and appeals to human experience, he urges his audience to recognize the immediacy of the threat and the need for an armed response. The concluding declaration—""Give me liberty or give me death!""—serves as a rallying cry for those seeking independence, encapsulating the determination and urgency of the revolutionary spirit. (This is an automatically generated summary.)",1213,80.20,1976-12-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/6/pg6.cover.medium.jpg,https://www.gutenberg.org/files/6/6.txt,https://www.gutenberg.org/ebooks/6
gutenberg,7,The Mayflower Compact,,"Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources; Mayflower Compact (1620); Pilgrims (New Plymouth Colony)",Category: History - American; Category: History - Early Modern (c. 1450-1750); Category: History - Religious,"""The Mayflower Compact"" is a governing document written in 1620 by men aboard the Mayflower. Forced off course to Cape Cod instead of Virginia, the passengers faced potential mutiny from those claiming freedom from agreed-upon authority. To maintain order, forty-one men signed this covenant, creating a civil government based on majority rule while pledging loyalty to the English Crown. It became Plymouth Colony's founding document and an early example of self-governance in America. (This is an automatically generated summary.)",1119,67.90,1977-12-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/7/pg7.cover.medium.jpg,https://www.gutenberg.org/files/7/7.txt,https://www.gutenberg.org/ebooks/7
gutenberg,8,Abraham Lincoln's Second Inaugural Address,"Lincoln, Abraham",Presidents -- United States -- Inaugural addresses; United States -- Politics and government -- 1861-1865,"Category: Essays, Letters & Speeches; Category: History - American; Category: History - Modern (1750+); Category: Politics; US Civil War","""Abraham Lincoln's Second Inaugural Address"" by Abraham Lincoln is a speech delivered on March 4, 1865, as the Civil War neared its end. Rather than celebrating impending victory, Lincoln spoke with somber reflection on the war's meaning and divine purpose. He identified slavery as the war's cause and suggested the conflict might be God's punishment for the nation's sins. The address contemplates unknowable divine will and calls for reconciliation, urging Americans to ""bind up the nation's wounds"" without harsh treatment of the defeated South. (This is an automatically generated summary.)",1209,62.70,1978-12-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/8/pg8.cover.medium.jpg,https://www.gutenberg.org/files/8/8.txt,https://www.gutenberg.org/ebooks/8
gutenberg,9,Abraham Lincoln's First Inaugural Address,"Lincoln, Abraham",Presidents -- United States -- Inaugural addresses; United States -- Politics and government -- 1861-1865,"Category: Essays, Letters & Speeches; Category: History - American; Category: Politics; US Civil War","""Abraham Lincoln's First Inaugural Address"" by Abraham Lincoln is a historical document delivered as a speech on March 4, 1861. This address takes place during a tumultuous period in American history, specifically the lead-up to the Civil War. In this speech, Lincoln aims to reassure a divided nation, emphasizing the importance of the Union and the continuity of the Constitution while addressing the contentious issues surrounding slavery.  In his address, Lincoln acknowledges the fears of Southern states regarding the protection of their rights and property, particularly concerning slavery. He firmly asserts that he has no intention to interfere with the institution of slavery where it already exists and advocates for the peaceful resolution of conflicts. Lincoln discusses the nature of the Union, arguing that it is perpetual and cannot be dissolved by individual states. By appealing to unity, he calls for patience and a commitment to dialogue while reminding listeners that civil war would only arise from aggression. The address ends on a hopeful note, urging Americans to recognize their shared bonds and to seek reconciliation rather than division, famously invoking ""the better angels of our nature."" (This is an automatically generated summary.)",1033,52.80,1979-12-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/9/pg9.cover.medium.jpg,https://www.gutenberg.org/files/9/9.txt,https://www.gutenberg.org/ebooks/9
gutenberg,10,The King James Version of the Bible,,Bible,Banned Books List from the American Library Association; Category: Classics of Literature; Category: Religion/Spirituality,"""The King James Version of the Bible"" is an English translation of the Christian Bible commissioned in 1604 and published in 1611 under King James VI and I. This translation for the Church of England contains 80 books and was created to address controversies surrounding existing versions. Celebrated for its majestic style, it has profoundly shaped English literature, Christian thought, and everyday speech for over four centuries. The translation became the unchallenged standard in English Protestant churches and remains one of the most widely read versions today. (This is an automatically generated summary.)",16681,77.20,1989-08-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/10/pg10.cover.medium.jpg,https://www.gutenberg.org/files/10/10.txt,https://www.gutenberg.org/ebooks/10
gutenberg,11,Alice's Adventures in Wonderland,"Carroll, Lewis",Alice (Fictitious character from Carroll) -- Juvenile fiction; Children's stories; Fantasy fiction; Imaginary places -- Juvenile fiction,Category: British Literature; Category: Children & Young Adult Reading; Category: Classics of Literature; Category: Novels; Children's Literature,"""Alice's Adventures in Wonderland"" by Lewis Carroll is a children's novel published in 1865. When a curious girl named Alice spots a White Rabbit with a pocket watch, she tumbles down a rabbit hole into an extraordinary fantasy world filled with peculiar anthropomorphic creatures. This pioneering work of literary nonsense plays with logic and language, creating a whimsical tale that delights both children and adults. Illustrated by John Tenniel, it helped transform children's literature from didactic instruction to pure entertainment. (This is an automatically generated summary.)",82955,87.50,2008-06-27T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/11/pg11.cover.medium.jpg,https://www.gutenberg.org/files/11/11.txt,https://www.gutenberg.org/ebooks/11
gutenberg,12,Through the Looking-Glass,"Carroll, Lewis",Alice (Fictitious character from Carroll) -- Juvenile fiction; Children's stories; Fantasy fiction; Imaginary places -- Juvenile fiction,Best Books Ever Listings; Category: British Literature; Category: Children & Young Adult Reading; Category: Novels; Children's Literature,"""Through the Looking-Glass"" by Lewis Carroll is a novel published in 1871. When Alice climbs through a mirror into a fantastical world, she discovers everything is reversed—including logic itself. In this chess-themed realm, running keeps you stationary, walking away brings you closer, and nursery-rhyme characters come alive. Alice encounters peculiar beings including the severe Red Queen, quarrelsome twins Tweedledum and Tweedledee, and the opinionated Humpty Dumpty. Like its beloved predecessor, this sequel blends absurdist adventure with unforgettable imagery and phrases that remain part of our language today. (This is an automatically generated summary.)",13717,90.20,2008-06-25T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/12/pg12.cover.medium.jpg,https://www.gutenberg.org/files/12/12.txt,https://www.gutenberg.org/ebooks/12
gutenberg,13,The Hunting of the Snark: An Agony in Eight Fits,"Carroll, Lewis","Nonsense verses, English",Category: British Literature; Category: Classics of Literature; Category: Humour; Category: Poetry; Children's Literature,"""The Hunting of the Snark: An Agony in Eight Fits"" by Lewis Carroll is a nonsense poem written between 1874 and 1876. A crew of ten peculiar characters embarks on an absurd quest to hunt the mysterious Snark, guided only by a blank map. Their journey becomes increasingly strange as they encounter fantastical creatures and face a terrifying possibility: the Snark might actually be a deadly Boojum. When one crew member finally discovers their quarry, he vanishes without a trace, confirming their darkest fears. (This is an automatically generated summary.)",2432,74.00,2008-06-25T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/13/pg13.cover.medium.jpg,https://www.gutenberg.org/files/13/13.txt,https://www.gutenberg.org/ebooks/13
gutenberg,14,The 1990 CIA World Factbook,United States. Central Intelligence Agency,"Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.; World politics -- Handbooks, manuals, etc.",Category: Economics; Category: Encyclopedias/Dictionaries/Reference; Category: Politics; CIA World Factbooks,"""The 1990 CIA World Factbook"" by the United States Central Intelligence Agency is an information-rich reference book produced for governmental use, published in the late 20th century. It provides detailed statistics and descriptions of countries and territories, including geographical data, demographic information, economic indicators, and political structures, organized for all 249 recognized entities during that period.  The beginning of the publication outlines the structure and purpose of the factbook, specifically catering to the needs of U.S. government officials. The introductory sections explain the format and content adjustments made since previous editions, laying a foundation for understanding each included nation's unique features. For instance, the facts provided for countries like Afghanistan, Albania, and Algeria introduce vital statistics about their geography, populations, economies, and government types, highlighting historical contexts such as Afghanistan's civil war and Algeria's reliance on oil exports. This serves as a fundamental resource for policy-making and research related to international relations and comparative studies in the political and economic landscape. (This is an automatically generated summary.)",2557,28.20,1991-04-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/14/pg14.cover.medium.jpg,https://www.gutenberg.org/files/14/14.txt,https://www.gutenberg.org/ebooks/14
gutenberg,15,"Moby-Dick; or, The Whale","Melville, Herman","Adventure stories; Ahab, Captain (Fictitious character) -- Fiction; Mentally ill -- Fiction; Psychological fiction; Sea stories; Ship captains -- Fiction; Whales -- Fiction; Whaling -- Fiction; Whaling ships -- Fiction",Adventure; Best Books Ever Listings; Category: Adventure; Category: American Literature; Category: Classics of Literature; Category: Novels,"""Moby-Dick; or, The Whale"" by Herman Melville is an epic novel published in 1851. Sailor Ishmael narrates the obsessive quest of Captain Ahab, who commands the whaling ship Pequod in pursuit of Moby Dick, the white whale that destroyed his leg. Driven by vengeance, Ahab leads his diverse crew across the world's oceans, hunting the legendary creature. This tale of obsession explores themes of good and evil, fate, and humanity's struggle against nature's overwhelming power. (This is an automatically generated summary.)",2869,73.40,1991-05-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/15/pg15.cover.medium.jpg,https://www.gutenberg.org/files/15/15.txt,https://www.gutenberg.org/ebooks/15
gutenberg,16,Peter Pan : $b [Peter and Wendy],"Barrie, J. M. (James Matthew)",Fairies -- Fiction; Fantasy literature; Never-Never Land (Imaginary place) -- Fiction; Peter Pan (Fictitious character) -- Fiction; Pirates -- Fiction,Category: Adventure; Category: British Literature; Category: Children & Young Adult Reading; Category: Classics of Literature; Category: Novels; Children's Literature; Movie Books,"""Peter Pan: [Peter and Wendy]"" by J. M. Barrie is a work that began as a play in 1904 and became a novel in 1911. It tells the story of Peter Pan, a mischievous boy who can fly and never grows up. He whisks Wendy Darling and her brothers away to Neverland, a magical island inhabited by mermaids, fairies, and pirates. There, they encounter the Lost Boys and face off against the villainous Captain Hook, all while navigating adventures that blur the line between childhood wonder and danger. (This is an automatically generated summary.)",31190,89.70,2008-06-25T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/16/pg16.cover.medium.jpg,https://www.gutenberg.org/files/16/16.txt,https://www.gutenberg.org/ebooks/16
gutenberg,17,"The Book of Mormon : $b an account written by the hand of Mormon, upon plates taken from the plates of Nephi","Smith, Joseph, Jr.; Church of Jesus Christ of Latter-day Saints",Church of Jesus Christ of Latter-day Saints -- Sacred books; Latter Day Saint churches -- Sacred books,"Category: Mythology, Legends & Folklore; Category: Religion/Spirituality; Christianity; Latter Day Saints","""The Book of Mormon: an account written by the hand of Mormon, upon plates…"" is a religious text first published in 1830 by Joseph Smith. According to Smith, the book was translated from golden plates revealed by an angel, chronicling ancient peoples led from Jerusalem to the Americas. The text centers on an appearance of Jesus Christ in the Americas after his resurrection, containing teachings on atonement, baptism, and priesthood authority. Its origins remain contested between faith-based and scholarly interpretations. (This is an automatically generated summary.)",2747,68.70,2008-06-25T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/17/pg17.cover.medium.jpg,https://www.gutenberg.org/files/17/17.txt,https://www.gutenberg.org/ebooks/17
gutenberg,18,The Federalist Papers,"Hamilton, Alexander; Jay, John; Madison, James",Constitutional history -- United States -- Sources; Constitutional law -- United States,"Category: Essays, Letters & Speeches; Category: History - American; Category: Politics; Politics","""The Federalist Papers"" by Alexander Hamilton, John Jay, and James Madison is a collection of 85 essays written between 1787-1788. Published under the pseudonym ""Publius,"" these articles aimed to persuade New York voters to ratify the proposed Constitution of the United States. The essays tackle fundamental questions about governance, from preventing tyranny of the majority to establishing checks and balances. They address whether societies can create good government through reason and choice, or must rely on accident and force. This defense of the Constitution became a landmark work in political science. (This is an automatically generated summary.)",2424,38.40,1991-08-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/18/pg18.cover.medium.jpg,https://www.gutenberg.org/files/18/18.txt,https://www.gutenberg.org/ebooks/18
gutenberg,19,The Song of Hiawatha,"Longfellow, Henry Wadsworth","Hiawatha, active 15th century -- Poetry; Indians of North America -- Poetry; Iroquois Indians -- Kings and rulers -- Poetry","Category: American Literature; Category: Mythology, Legends & Folklore; Category: Poetry; Children's Literature; Native America; Poetry","""The Song of Hiawatha"" by Henry Wadsworth Longfellow is an epic poem published in 1855. Written in trochaic tetrameter, it tells the fictional adventures of Ojibwe warrior Hiawatha and his tragic love for Minnehaha, a Dakota woman. Set near Lake Superior's Pictured Rocks, the poem follows Hiawatha from childhood through heroic deeds including slaying an evil magician, inventing written language, and discovering corn. The story culminates with the arrival of Christian missionaries and Hiawatha's mysterious departure westward into the sunset. (This is an automatically generated summary.)",2369,66.30,2004-06-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/19/pg19.cover.medium.jpg,https://www.gutenberg.org/files/19/19.txt,https://www.gutenberg.org/ebooks/19
gutenberg,20,Paradise Lost,"Milton, John",Adam (Biblical figure) -- Poetry; Bible. Genesis -- History of Biblical events -- Poetry; Eve (Biblical figure) -- Poetry; Fall of man -- Poetry,Banned Books from Anne Haight's list; Category: British Literature; Category: Classics of Literature; Category: Poetry; Poetry,"""Paradise Lost"" by John Milton is an epic poem published in 1667. It retells the biblical story of humanity's fall: Satan's rebellion against God, his expulsion to Hell, and his vengeful plot to corrupt God's newest creation—mankind. Through the temptation of Adam and Eve in the Garden of Eden, Milton explores profound themes of free will, disobedience, and redemption. The poem features one of literature's most complex villains in Satan, while seeking to ""justify the ways of God to men."" (This is an automatically generated summary.)",18284,45.70,1991-10-01T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/20/pg20.cover.medium.jpg,https://www.gutenberg.org/files/20/20.txt,https://www.gutenberg.org/ebooks/20
gutenberg,21,Three hundred Aesop’s fables: Translated by George Fyler Townsend,Aesop,"Aesop's fables -- Translations into English; Fables, Greek -- Translations into English","Category: Classics of Literature; Category: Mythology, Legends & Folklore","""Three Hundred Aesop's Fables"" by Aesop is a collection of fables originating between 620 and 564 BCE. These timeless tales feature talking animals, plants, and humans navigating moral dilemmas and life lessons. Originally part of oral tradition, the stories were collected centuries after Aesop's death and grew to include works from diverse sources across cultures. Each brief narrative offers wisdom through simple scenarios, often concluding with explicit morals that have shaped ethical thinking for millennia. (This is an automatically generated summary.)",17111,74.00,2008-06-25T00:00:00.000Z,pd,True,https://www.gutenberg.org/cache/epub/21/pg21.cover.medium.jpg,https://www.gutenberg.org/files/21/21.txt,https://www.gutenberg.org/ebooks/21
