source,id,title,authors,publication_year,publisher,language,rights,access,is_public_domain,isbn,oclc_num,lccn,bib_fmt,pub_place,holding_library,source_url,catalog_url
hathitrust,uc1.31822013797600,The story of pollination / With drawings by Hilda Kern,"Meeuse, Bastiaan",1961,"Ronald Press Co., [1961]",eng,pd,allow,True,,326338,61015612,BK,nyu,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.31822013797600,https://catalog.hathitrust.org/Record/000004689
hathitrust,umn.31951000159427v,The story of pollination / With drawings by Hilda Kern,"Meeuse, Bastiaan",1961,"Ronald Press Co., [1961]",eng,pd,allow,True,,326338,61015612,BK,nyu,UMN,https://babel.hathitrust.org/cgi/pt?id=umn.31951000159427v,https://catalog.hathitrust.org/Record/000004689
hathitrust,osu.32435003696655,The story of pollination / With drawings by Hilda Kern,"Meeuse, Bastiaan",1961,"Ronald Press Co., [1961]",eng,pd,allow,True,,326338,61015612,BK,nyu,OU,https://babel.hathitrust.org/cgi/pt?id=osu.32435003696655,https://catalog.hathitrust.org/Record/000004689
hathitrust,osu.32435003696648,The story of pollination / With drawings by Hilda Kern,"Meeuse, Bastiaan",1961,"Ronald Press Co., [1961]",eng,pd,allow,True,,326338,61015612,BK,nyu,OU,https://babel.hathitrust.org/cgi/pt?id=osu.32435003696648,https://catalog.hathitrust.org/Record/000004689
hathitrust,uc1.31210010351201,The story of pollination / With drawings by Hilda Kern,"Meeuse, Bastiaan",1961,"Ronald Press Co., [1961]",eng,pd,allow,True,,326338,61015612,BK,nyu,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.31210010351201,https://catalog.hathitrust.org/Record/000004689
hathitrust,mdp.39015000153463,The story of pollination / With drawings by Hilda Kern,"Meeuse, Bastiaan",1961,"Ronald Press Co., [1961]",eng,pd,allow,True,,326338,61015612,BK,nyu,MIU,https://babel.hathitrust.org/cgi/pt?id=mdp.39015000153463,https://catalog.hathitrust.org/Record/000004689
hathitrust,rul.39030011207455,The story of pollination / With drawings by Hilda Kern,"Meeuse, Bastiaan",1961,"Ronald Press Co., [1961]",eng,pd,allow,True,,326338,61015612,BK,nyu,NJR,https://babel.hathitrust.org/cgi/pt?id=rul.39030011207455,https://catalog.hathitrust.org/Record/000004689
hathitrust,uga1.32108008842653,The story of pollination / With drawings by Hilda Kern,"Meeuse, Bastiaan",1961,"Ronald Press Co., [1961]",eng,pd,allow,True,,326338,61015612,BK,nyu,GU,https://babel.hathitrust.org/cgi/pt?id=uga1.32108008842653,https://catalog.hathitrust.org/Record/000004689
hathitrust,ufl.31262070519508,The story of pollination / With drawings by Hilda Kern,"Meeuse, Bastiaan",1961,"Ronald Press Co., [1961]",eng,pd,allow,True,,326338,61015612,BK,nyu,FU,https://babel.hathitrust.org/cgi/pt?id=ufl.31262070519508,https://catalog.hathitrust.org/Record/000004689
hathitrust,rul.39030019055666,The story of pollination / With drawings by Hilda Kern,"Meeuse, Bastiaan",1961,"Ronald Press Co., [1961]",eng,pd,allow,True,,326338,61015612,BK,nyu,NJR,https://babel.hathitrust.org/cgi/pt?id=rul.39030019055666,https://catalog.hathitrust.org/Record/000004689
